
---------- Begin Simulation Statistics ----------
simSeconds                                   0.446220                       # Number of seconds simulated (Second)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                         41141                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                      431125145                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                      1721654                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                   42823506                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                        0                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                      5470435                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                     3763548                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                        12                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                        389421                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                        76760                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents                  0                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect              21906                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect           19317                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                    41223                       # Number of branch mispredicts detected at execute (Count)
system.cpu.numInsts                          74259878                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                      38669424                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                     21657                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                           42260562                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                        5684487                       # Number of branches executed (Count)
system.cpu.numStoreInsts                      3591138                       # Number of stores executed (Count)
