
---------- Begin Simulation Statistics ----------
simSeconds                                   0.443497                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdPredAlu     73877520      1.89%     88.68% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead     73877520      1.89%     90.57% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite     73877520      1.89%     92.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead     73877520      1.89%     94.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite     73877520      1.89%     96.23% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess     73877520      1.89%     98.11% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch     73877520      1.89%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total     3915508560                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         0.083290                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                             6360134                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.086090                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                671825937                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                45502400                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        40597612                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    80237654                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                         41141                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                      427175769                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                      1714747                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                   42723313                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                        0                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                      5445334                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                     3755151                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                        14                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                        388997                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                        70895                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents                  0                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect              21905                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect           19318                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                    41223                       # Number of branch mispredicts detected at execute (Count)
system.cpu.numInsts                          73855890                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                      38340890                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                     21630                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                           41923639                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                        5667731                       # Number of branches executed (Count)
system.cpu.numStoreInsts                      3582749                       # Number of stores executed (Count)
system.cpu.numRate                           0.083265                       # Inst execution rate ((Count/Cycle))
system.cpu.instsToCommit                     73855890                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                    40597612                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                      29203976                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                      73629043                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            0.045770                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.396637                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                         5605726                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                       369283520                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                    35663458                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      39944226                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                              24.871235                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                         24.871235                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.040207                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.040207                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                   85646252                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                  31027679                       # Number of integer regfile writes (Count)
system.cpu.ccRegfileReads                   236927990                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                   23241550                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                 663656035                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                        6                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads        5445334                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       3755151                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                 6079482                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           4297611                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect             41209                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              2760076                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                 2759896                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999935                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                  606275                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                101                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups              42                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 18                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses               24                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted            5                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         2779094                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls               2                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts             41139                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    517349211                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     0.077209                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     0.528058                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0       498603388     96.38%     96.38% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1        11000801      2.13%     98.50% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2         2596142      0.50%     99.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3         2086110      0.40%     99.41% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4          974560      0.19%     99.60% # Number of insts commited each cycle
